遥信(DI)描述,遥测(AI)描述,遥测(AI)乘法因子,遥测(AI)偏移量,遥控(DO)描述,遥控(DO)限定词：0-未指定；1-短脉冲；2-长脉冲；3-持续,遥控(DO)类型：0-选择执行；1-立即执行,遥调(AO)描述,累计量(CI)描述
遥信(DI)#3959,遥测(AI)#3959,3959,-6042,遥控(DO)#3959,2,1,遥调(AO)#3959,累计量(CI)#3959
遥信(DI)#3960,遥测(AI)#3960,3960,-6041,遥控(DO)#3960,2,1,遥调(AO)#3960,累计量(CI)#3960
遥信(DI)#3961,遥测(AI)#3961,3961,-6040,遥控(DO)#3961,2,1,遥调(AO)#3961,累计量(CI)#3961
遥信(DI)#3962,遥测(AI)#3962,3962,-6039,遥控(DO)#3962,2,1,遥调(AO)#3962,累计量(CI)#3962
遥信(DI)#3963,遥测(AI)#3963,3963,-6038,遥控(DO)#3963,2,1,遥调(AO)#3963,累计量(CI)#3963
遥信(DI)#3964,遥测(AI)#3964,3964,-6037,遥控(DO)#3964,2,1,遥调(AO)#3964,累计量(CI)#3964
遥信(DI)#3965,遥测(AI)#3965,3965,-6036,遥控(DO)#3965,2,1,遥调(AO)#3965,累计量(CI)#3965
遥信(DI)#3966,遥测(AI)#3966,3966,-6035,遥控(DO)#3966,2,1,遥调(AO)#3966,累计量(CI)#3966
遥信(DI)#3967,遥测(AI)#3967,3967,-6034,遥控(DO)#3967,2,1,遥调(AO)#3967,累计量(CI)#3967
遥信(DI)#3968,遥测(AI)#3968,3968,-6033,遥控(DO)#3968,2,1,遥调(AO)#3968,累计量(CI)#3968
遥信(DI)#3969,遥测(AI)#3969,3969,-6032,遥控(DO)#3969,2,1,遥调(AO)#3969,累计量(CI)#3969
遥信(DI)#3970,遥测(AI)#3970,3970,-6031,遥控(DO)#3970,2,1,遥调(AO)#3970,累计量(CI)#3970
遥信(DI)#3971,遥测(AI)#3971,3971,-6030,遥控(DO)#3971,2,1,遥调(AO)#3971,累计量(CI)#3971
遥信(DI)#3972,遥测(AI)#3972,3972,-6029,遥控(DO)#3972,2,1,遥调(AO)#3972,累计量(CI)#3972
遥信(DI)#3973,遥测(AI)#3973,3973,-6028,遥控(DO)#3973,2,1,遥调(AO)#3973,累计量(CI)#3973
遥信(DI)#3974,遥测(AI)#3974,3974,-6027,遥控(DO)#3974,2,1,遥调(AO)#3974,累计量(CI)#3974
遥信(DI)#3975,遥测(AI)#3975,3975,-6026,遥控(DO)#3975,2,1,遥调(AO)#3975,累计量(CI)#3975
遥信(DI)#3976,遥测(AI)#3976,3976,-6025,遥控(DO)#3976,2,1,遥调(AO)#3976,累计量(CI)#3976
遥信(DI)#3977,遥测(AI)#3977,3977,-6024,遥控(DO)#3977,2,1,遥调(AO)#3977,累计量(CI)#3977
遥信(DI)#3978,遥测(AI)#3978,3978,-6023,遥控(DO)#3978,2,1,遥调(AO)#3978,累计量(CI)#3978
遥信(DI)#3979,遥测(AI)#3979,3979,-6022,遥控(DO)#3979,2,1,遥调(AO)#3979,累计量(CI)#3979
遥信(DI)#3980,遥测(AI)#3980,3980,-6021,遥控(DO)#3980,2,1,遥调(AO)#3980,累计量(CI)#3980
遥信(DI)#3981,遥测(AI)#3981,3981,-6020,遥控(DO)#3981,2,1,遥调(AO)#3981,累计量(CI)#3981
遥信(DI)#3982,遥测(AI)#3982,3982,-6019,遥控(DO)#3982,2,1,遥调(AO)#3982,累计量(CI)#3982
遥信(DI)#3983,遥测(AI)#3983,3983,-6018,遥控(DO)#3983,2,1,遥调(AO)#3983,累计量(CI)#3983
遥信(DI)#3984,遥测(AI)#3984,3984,-6017,遥控(DO)#3984,2,1,遥调(AO)#3984,累计量(CI)#3984
遥信(DI)#3985,遥测(AI)#3985,3985,-6016,遥控(DO)#3985,2,1,遥调(AO)#3985,累计量(CI)#3985
遥信(DI)#3986,遥测(AI)#3986,3986,-6015,遥控(DO)#3986,2,1,遥调(AO)#3986,累计量(CI)#3986
遥信(DI)#3987,遥测(AI)#3987,3987,-6014,遥控(DO)#3987,2,1,遥调(AO)#3987,累计量(CI)#3987
遥信(DI)#3988,遥测(AI)#3988,3988,-6013,遥控(DO)#3988,2,1,遥调(AO)#3988,累计量(CI)#3988
遥信(DI)#3989,遥测(AI)#3989,3989,-6012,遥控(DO)#3989,2,1,遥调(AO)#3989,累计量(CI)#3989
遥信(DI)#3990,遥测(AI)#3990,3990,-6011,遥控(DO)#3990,2,1,遥调(AO)#3990,累计量(CI)#3990
遥信(DI)#3991,遥测(AI)#3991,3991,-6010,遥控(DO)#3991,2,1,遥调(AO)#3991,累计量(CI)#3991
遥信(DI)#3992,遥测(AI)#3992,3992,-6009,遥控(DO)#3992,2,1,遥调(AO)#3992,累计量(CI)#3992
遥信(DI)#3993,遥测(AI)#3993,3993,-6008,遥控(DO)#3993,2,1,遥调(AO)#3993,累计量(CI)#3993
遥信(DI)#3994,遥测(AI)#3994,3994,-6007,遥控(DO)#3994,2,1,遥调(AO)#3994,累计量(CI)#3994
遥信(DI)#3995,遥测(AI)#3995,3995,-6006,遥控(DO)#3995,2,1,遥调(AO)#3995,累计量(CI)#3995
遥信(DI)#3996,遥测(AI)#3996,3996,-6005,遥控(DO)#3996,2,1,遥调(AO)#3996,累计量(CI)#3996
遥信(DI)#3997,遥测(AI)#3997,3997,-6004,遥控(DO)#3997,2,1,遥调(AO)#3997,累计量(CI)#3997
遥信(DI)#3998,遥测(AI)#3998,3998,-6003,遥控(DO)#3998,2,1,遥调(AO)#3998,累计量(CI)#3998
遥信(DI)#3999,遥测(AI)#3999,3999,-6002,遥控(DO)#3999,2,1,遥调(AO)#3999,累计量(CI)#3999
遥信(DI)#4000,遥测(AI)#4000,4000,-6001,遥控(DO)#4000,2,1,遥调(AO)#4000,累计量(CI)#4000
遥信(DI)#4001,遥测(AI)#4001,4001,-6000,遥控(DO)#4001,2,1,遥调(AO)#4001,累计量(CI)#4001
遥信(DI)#4002,遥测(AI)#4002,4002,-5999,遥控(DO)#4002,2,1,遥调(AO)#4002,累计量(CI)#4002
遥信(DI)#4003,遥测(AI)#4003,4003,-5998,遥控(DO)#4003,2,1,遥调(AO)#4003,累计量(CI)#4003
遥信(DI)#4004,遥测(AI)#4004,4004,-5997,遥控(DO)#4004,2,1,遥调(AO)#4004,累计量(CI)#4004
遥信(DI)#4005,遥测(AI)#4005,4005,-5996,遥控(DO)#4005,2,1,遥调(AO)#4005,累计量(CI)#4005
遥信(DI)#4006,遥测(AI)#4006,4006,-5995,遥控(DO)#4006,2,1,遥调(AO)#4006,累计量(CI)#4006
遥信(DI)#4007,遥测(AI)#4007,4007,-5994,遥控(DO)#4007,2,1,遥调(AO)#4007,累计量(CI)#4007
遥信(DI)#4008,遥测(AI)#4008,4008,-5993,遥控(DO)#4008,2,1,遥调(AO)#4008,累计量(CI)#4008
遥信(DI)#4009,遥测(AI)#4009,4009,-5992,遥控(DO)#4009,2,1,遥调(AO)#4009,累计量(CI)#4009
遥信(DI)#4010,遥测(AI)#4010,4010,-5991,遥控(DO)#4010,2,1,遥调(AO)#4010,累计量(CI)#4010
遥信(DI)#4011,遥测(AI)#4011,4011,-5990,遥控(DO)#4011,2,1,遥调(AO)#4011,累计量(CI)#4011
遥信(DI)#4012,遥测(AI)#4012,4012,-5989,遥控(DO)#4012,2,1,遥调(AO)#4012,累计量(CI)#4012
遥信(DI)#4013,遥测(AI)#4013,4013,-5988,遥控(DO)#4013,2,1,遥调(AO)#4013,累计量(CI)#4013
遥信(DI)#4014,遥测(AI)#4014,4014,-5987,遥控(DO)#4014,2,1,遥调(AO)#4014,累计量(CI)#4014
遥信(DI)#4015,遥测(AI)#4015,4015,-5986,遥控(DO)#4015,2,1,遥调(AO)#4015,累计量(CI)#4015
遥信(DI)#4016,遥测(AI)#4016,4016,-5985,遥控(DO)#4016,2,1,遥调(AO)#4016,累计量(CI)#4016
遥信(DI)#4017,遥测(AI)#4017,4017,-5984,遥控(DO)#4017,2,1,遥调(AO)#4017,累计量(CI)#4017
遥信(DI)#4018,遥测(AI)#4018,4018,-5983,遥控(DO)#4018,2,1,遥调(AO)#4018,累计量(CI)#4018
遥信(DI)#4019,遥测(AI)#4019,4019,-5982,遥控(DO)#4019,2,1,遥调(AO)#4019,累计量(CI)#4019
遥信(DI)#4020,遥测(AI)#4020,4020,-5981,遥控(DO)#4020,2,1,遥调(AO)#4020,累计量(CI)#4020
遥信(DI)#4021,遥测(AI)#4021,4021,-5980,遥控(DO)#4021,2,1,遥调(AO)#4021,累计量(CI)#4021
遥信(DI)#4022,遥测(AI)#4022,4022,-5979,遥控(DO)#4022,2,1,遥调(AO)#4022,累计量(CI)#4022
遥信(DI)#4023,遥测(AI)#4023,4023,-5978,遥控(DO)#4023,2,1,遥调(AO)#4023,累计量(CI)#4023
遥信(DI)#4024,遥测(AI)#4024,4024,-5977,遥控(DO)#4024,2,1,遥调(AO)#4024,累计量(CI)#4024
遥信(DI)#4025,遥测(AI)#4025,4025,-5976,遥控(DO)#4025,2,1,遥调(AO)#4025,累计量(CI)#4025
遥信(DI)#4026,遥测(AI)#4026,4026,-5975,遥控(DO)#4026,2,1,遥调(AO)#4026,累计量(CI)#4026
遥信(DI)#4027,遥测(AI)#4027,4027,-5974,遥控(DO)#4027,2,1,遥调(AO)#4027,累计量(CI)#4027
遥信(DI)#4028,遥测(AI)#4028,4028,-5973,遥控(DO)#4028,2,1,遥调(AO)#4028,累计量(CI)#4028
遥信(DI)#4029,遥测(AI)#4029,4029,-5972,遥控(DO)#4029,2,1,遥调(AO)#4029,累计量(CI)#4029
遥信(DI)#4030,遥测(AI)#4030,4030,-5971,遥控(DO)#4030,2,1,遥调(AO)#4030,累计量(CI)#4030
遥信(DI)#4031,遥测(AI)#4031,4031,-5970,遥控(DO)#4031,2,1,遥调(AO)#4031,累计量(CI)#4031
遥信(DI)#4032,遥测(AI)#4032,4032,-5969,遥控(DO)#4032,2,1,遥调(AO)#4032,累计量(CI)#4032
遥信(DI)#4033,遥测(AI)#4033,4033,-5968,遥控(DO)#4033,2,1,遥调(AO)#4033,累计量(CI)#4033
遥信(DI)#4034,遥测(AI)#4034,4034,-5967,遥控(DO)#4034,2,1,遥调(AO)#4034,累计量(CI)#4034
遥信(DI)#4035,遥测(AI)#4035,4035,-5966,遥控(DO)#4035,2,1,遥调(AO)#4035,累计量(CI)#4035
遥信(DI)#4036,遥测(AI)#4036,4036,-5965,遥控(DO)#4036,2,1,遥调(AO)#4036,累计量(CI)#4036
遥信(DI)#4037,遥测(AI)#4037,4037,-5964,遥控(DO)#4037,2,1,遥调(AO)#4037,累计量(CI)#4037
遥信(DI)#4038,遥测(AI)#4038,4038,-5963,遥控(DO)#4038,2,1,遥调(AO)#4038,累计量(CI)#4038
遥信(DI)#4039,遥测(AI)#4039,4039,-5962,遥控(DO)#4039,2,1,遥调(AO)#4039,累计量(CI)#4039
遥信(DI)#4040,遥测(AI)#4040,4040,-5961,遥控(DO)#4040,2,1,遥调(AO)#4040,累计量(CI)#4040
遥信(DI)#4041,遥测(AI)#4041,4041,-5960,遥控(DO)#4041,2,1,遥调(AO)#4041,累计量(CI)#4041
遥信(DI)#4042,遥测(AI)#4042,4042,-5959,遥控(DO)#4042,2,1,遥调(AO)#4042,累计量(CI)#4042
遥信(DI)#4043,遥测(AI)#4043,4043,-5958,遥控(DO)#4043,2,1,遥调(AO)#4043,累计量(CI)#4043
遥信(DI)#4044,遥测(AI)#4044,4044,-5957,遥控(DO)#4044,2,1,遥调(AO)#4044,累计量(CI)#4044
遥信(DI)#4045,遥测(AI)#4045,4045,-5956,遥控(DO)#4045,2,1,遥调(AO)#4045,累计量(CI)#4045
遥信(DI)#4046,遥测(AI)#4046,4046,-5955,遥控(DO)#4046,2,1,遥调(AO)#4046,累计量(CI)#4046
遥信(DI)#4047,遥测(AI)#4047,4047,-5954,遥控(DO)#4047,2,1,遥调(AO)#4047,累计量(CI)#4047
遥信(DI)#4048,遥测(AI)#4048,4048,-5953,遥控(DO)#4048,2,1,遥调(AO)#4048,累计量(CI)#4048
遥信(DI)#4049,遥测(AI)#4049,4049,-5952,遥控(DO)#4049,2,1,遥调(AO)#4049,累计量(CI)#4049
遥信(DI)#4050,遥测(AI)#4050,4050,-5951,遥控(DO)#4050,2,1,遥调(AO)#4050,累计量(CI)#4050
遥信(DI)#4051,遥测(AI)#4051,4051,-5950,遥控(DO)#4051,2,1,遥调(AO)#4051,累计量(CI)#4051
遥信(DI)#4052,遥测(AI)#4052,4052,-5949,遥控(DO)#4052,2,1,遥调(AO)#4052,累计量(CI)#4052
遥信(DI)#4053,遥测(AI)#4053,4053,-5948,遥控(DO)#4053,2,1,遥调(AO)#4053,累计量(CI)#4053
遥信(DI)#4054,遥测(AI)#4054,4054,-5947,遥控(DO)#4054,2,1,遥调(AO)#4054,累计量(CI)#4054
遥信(DI)#4055,遥测(AI)#4055,4055,-5946,遥控(DO)#4055,2,1,遥调(AO)#4055,累计量(CI)#4055
遥信(DI)#4056,遥测(AI)#4056,4056,-5945,遥控(DO)#4056,2,1,遥调(AO)#4056,累计量(CI)#4056
遥信(DI)#4057,遥测(AI)#4057,4057,-5944,遥控(DO)#4057,2,1,遥调(AO)#4057,累计量(CI)#4057
遥信(DI)#4058,遥测(AI)#4058,4058,-5943,遥控(DO)#4058,2,1,遥调(AO)#4058,累计量(CI)#4058
遥信(DI)#4059,遥测(AI)#4059,4059,-5942,遥控(DO)#4059,2,1,遥调(AO)#4059,累计量(CI)#4059
遥信(DI)#4060,遥测(AI)#4060,4060,-5941,遥控(DO)#4060,2,1,遥调(AO)#4060,累计量(CI)#4060
遥信(DI)#4061,遥测(AI)#4061,4061,-5940,遥控(DO)#4061,2,1,遥调(AO)#4061,累计量(CI)#4061
遥信(DI)#4062,遥测(AI)#4062,4062,-5939,遥控(DO)#4062,2,1,遥调(AO)#4062,累计量(CI)#4062
遥信(DI)#4063,遥测(AI)#4063,4063,-5938,遥控(DO)#4063,2,1,遥调(AO)#4063,累计量(CI)#4063
遥信(DI)#4064,遥测(AI)#4064,4064,-5937,遥控(DO)#4064,2,1,遥调(AO)#4064,累计量(CI)#4064
遥信(DI)#4065,遥测(AI)#4065,4065,-5936,遥控(DO)#4065,2,1,遥调(AO)#4065,累计量(CI)#4065
遥信(DI)#4066,遥测(AI)#4066,4066,-5935,遥控(DO)#4066,2,1,遥调(AO)#4066,累计量(CI)#4066
遥信(DI)#4067,遥测(AI)#4067,4067,-5934,遥控(DO)#4067,2,1,遥调(AO)#4067,累计量(CI)#4067
遥信(DI)#4068,遥测(AI)#4068,4068,-5933,遥控(DO)#4068,2,1,遥调(AO)#4068,累计量(CI)#4068
遥信(DI)#4069,遥测(AI)#4069,4069,-5932,遥控(DO)#4069,2,1,遥调(AO)#4069,累计量(CI)#4069
遥信(DI)#4070,遥测(AI)#4070,4070,-5931,遥控(DO)#4070,2,1,遥调(AO)#4070,累计量(CI)#4070
遥信(DI)#4071,遥测(AI)#4071,4071,-5930,遥控(DO)#4071,2,1,遥调(AO)#4071,累计量(CI)#4071
遥信(DI)#4072,遥测(AI)#4072,4072,-5929,遥控(DO)#4072,2,1,遥调(AO)#4072,累计量(CI)#4072
遥信(DI)#4073,遥测(AI)#4073,4073,-5928,遥控(DO)#4073,2,1,遥调(AO)#4073,累计量(CI)#4073
遥信(DI)#4074,遥测(AI)#4074,4074,-5927,遥控(DO)#4074,2,1,遥调(AO)#4074,累计量(CI)#4074
遥信(DI)#4075,遥测(AI)#4075,4075,-5926,遥控(DO)#4075,2,1,遥调(AO)#4075,累计量(CI)#4075
遥信(DI)#4076,遥测(AI)#4076,4076,-5925,遥控(DO)#4076,2,1,遥调(AO)#4076,累计量(CI)#4076
遥信(DI)#4077,遥测(AI)#4077,4077,-5924,遥控(DO)#4077,2,1,遥调(AO)#4077,累计量(CI)#4077
遥信(DI)#4078,遥测(AI)#4078,4078,-5923,遥控(DO)#4078,2,1,遥调(AO)#4078,累计量(CI)#4078
遥信(DI)#4079,遥测(AI)#4079,4079,-5922,遥控(DO)#4079,2,1,遥调(AO)#4079,累计量(CI)#4079
遥信(DI)#4080,遥测(AI)#4080,4080,-5921,遥控(DO)#4080,2,1,遥调(AO)#4080,累计量(CI)#4080
遥信(DI)#4081,遥测(AI)#4081,4081,-5920,遥控(DO)#4081,2,1,遥调(AO)#4081,累计量(CI)#4081
遥信(DI)#4082,遥测(AI)#4082,4082,-5919,遥控(DO)#4082,2,1,遥调(AO)#4082,累计量(CI)#4082
遥信(DI)#4083,遥测(AI)#4083,4083,-5918,遥控(DO)#4083,2,1,遥调(AO)#4083,累计量(CI)#4083
遥信(DI)#4084,遥测(AI)#4084,4084,-5917,遥控(DO)#4084,2,1,遥调(AO)#4084,累计量(CI)#4084
遥信(DI)#4085,遥测(AI)#4085,4085,-5916,遥控(DO)#4085,2,1,遥调(AO)#4085,累计量(CI)#4085
遥信(DI)#4086,遥测(AI)#4086,4086,-5915,遥控(DO)#4086,2,1,遥调(AO)#4086,累计量(CI)#4086
遥信(DI)#4087,遥测(AI)#4087,4087,-5914,遥控(DO)#4087,2,1,遥调(AO)#4087,累计量(CI)#4087
遥信(DI)#4088,遥测(AI)#4088,4088,-5913,遥控(DO)#4088,2,1,遥调(AO)#4088,累计量(CI)#4088
遥信(DI)#4089,遥测(AI)#4089,4089,-5912,遥控(DO)#4089,2,1,遥调(AO)#4089,累计量(CI)#4089
遥信(DI)#4090,遥测(AI)#4090,4090,-5911,遥控(DO)#4090,2,1,遥调(AO)#4090,累计量(CI)#4090
遥信(DI)#4091,遥测(AI)#4091,4091,-5910,遥控(DO)#4091,2,1,遥调(AO)#4091,累计量(CI)#4091
遥信(DI)#4092,遥测(AI)#4092,4092,-5909,遥控(DO)#4092,2,1,遥调(AO)#4092,累计量(CI)#4092
遥信(DI)#4093,遥测(AI)#4093,4093,-5908,遥控(DO)#4093,2,1,遥调(AO)#4093,累计量(CI)#4093
遥信(DI)#4094,遥测(AI)#4094,4094,-5907,遥控(DO)#4094,2,1,遥调(AO)#4094,累计量(CI)#4094
遥信(DI)#4095,遥测(AI)#4095,4095,-5906,遥控(DO)#4095,2,1,遥调(AO)#4095,累计量(CI)#4095
遥信(DI)#4096,遥测(AI)#4096,4096,-5905,遥控(DO)#4096,2,1,遥调(AO)#4096,累计量(CI)#4096
遥信(DI)#4097,遥测(AI)#4097,4097,-5904,遥控(DO)#4097,2,1,遥调(AO)#4097,累计量(CI)#4097
遥信(DI)#4098,遥测(AI)#4098,4098,-5903,遥控(DO)#4098,2,1,遥调(AO)#4098,累计量(CI)#4098
遥信(DI)#4099,遥测(AI)#4099,4099,-5902,遥控(DO)#4099,2,1,遥调(AO)#4099,累计量(CI)#4099
遥信(DI)#4100,遥测(AI)#4100,4100,-5901,遥控(DO)#4100,2,1,遥调(AO)#4100,累计量(CI)#4100
遥信(DI)#4101,遥测(AI)#4101,4101,-5900,遥控(DO)#4101,2,1,遥调(AO)#4101,累计量(CI)#4101
遥信(DI)#4102,遥测(AI)#4102,4102,-5899,遥控(DO)#4102,2,1,遥调(AO)#4102,累计量(CI)#4102
遥信(DI)#4103,遥测(AI)#4103,4103,-5898,遥控(DO)#4103,2,1,遥调(AO)#4103,累计量(CI)#4103
遥信(DI)#4104,遥测(AI)#4104,4104,-5897,遥控(DO)#4104,2,1,遥调(AO)#4104,累计量(CI)#4104
遥信(DI)#4105,遥测(AI)#4105,4105,-5896,遥控(DO)#4105,2,1,遥调(AO)#4105,累计量(CI)#4105
遥信(DI)#4106,遥测(AI)#4106,4106,-5895,遥控(DO)#4106,2,1,遥调(AO)#4106,累计量(CI)#4106
遥信(DI)#4107,遥测(AI)#4107,4107,-5894,遥控(DO)#4107,2,1,遥调(AO)#4107,累计量(CI)#4107
遥信(DI)#4108,遥测(AI)#4108,4108,-5893,遥控(DO)#4108,2,1,遥调(AO)#4108,累计量(CI)#4108
遥信(DI)#4109,遥测(AI)#4109,4109,-5892,遥控(DO)#4109,2,1,遥调(AO)#4109,累计量(CI)#4109
遥信(DI)#4110,遥测(AI)#4110,4110,-5891,遥控(DO)#4110,2,1,遥调(AO)#4110,累计量(CI)#4110
遥信(DI)#4111,遥测(AI)#4111,4111,-5890,遥控(DO)#4111,2,1,遥调(AO)#4111,累计量(CI)#4111
遥信(DI)#4112,遥测(AI)#4112,4112,-5889,遥控(DO)#4112,2,1,遥调(AO)#4112,累计量(CI)#4112
遥信(DI)#4113,遥测(AI)#4113,4113,-5888,遥控(DO)#4113,2,1,遥调(AO)#4113,累计量(CI)#4113
遥信(DI)#4114,遥测(AI)#4114,4114,-5887,遥控(DO)#4114,2,1,遥调(AO)#4114,累计量(CI)#4114
遥信(DI)#4115,遥测(AI)#4115,4115,-5886,遥控(DO)#4115,2,1,遥调(AO)#4115,累计量(CI)#4115
遥信(DI)#4116,遥测(AI)#4116,4116,-5885,遥控(DO)#4116,2,1,遥调(AO)#4116,累计量(CI)#4116
遥信(DI)#4117,遥测(AI)#4117,4117,-5884,遥控(DO)#4117,2,1,遥调(AO)#4117,累计量(CI)#4117
遥信(DI)#4118,遥测(AI)#4118,4118,-5883,遥控(DO)#4118,2,1,遥调(AO)#4118,累计量(CI)#4118
遥信(DI)#4119,遥测(AI)#4119,4119,-5882,遥控(DO)#4119,2,1,遥调(AO)#4119,累计量(CI)#4119
遥信(DI)#4120,遥测(AI)#4120,4120,-5881,遥控(DO)#4120,2,1,遥调(AO)#4120,累计量(CI)#4120
遥信(DI)#4121,遥测(AI)#4121,4121,-5880,遥控(DO)#4121,2,1,遥调(AO)#4121,累计量(CI)#4121
遥信(DI)#4122,遥测(AI)#4122,4122,-5879,遥控(DO)#4122,2,1,遥调(AO)#4122,累计量(CI)#4122
遥信(DI)#4123,遥测(AI)#4123,4123,-5878,遥控(DO)#4123,2,1,遥调(AO)#4123,累计量(CI)#4123
遥信(DI)#4124,遥测(AI)#4124,4124,-5877,遥控(DO)#4124,2,1,遥调(AO)#4124,累计量(CI)#4124
遥信(DI)#4125,遥测(AI)#4125,4125,-5876,遥控(DO)#4125,2,1,遥调(AO)#4125,累计量(CI)#4125
遥信(DI)#4126,遥测(AI)#4126,4126,-5875,遥控(DO)#4126,2,1,遥调(AO)#4126,累计量(CI)#4126
遥信(DI)#4127,遥测(AI)#4127,4127,-5874,遥控(DO)#4127,2,1,遥调(AO)#4127,累计量(CI)#4127
遥信(DI)#4128,遥测(AI)#4128,4128,-5873,遥控(DO)#4128,2,1,遥调(AO)#4128,累计量(CI)#4128
遥信(DI)#4129,遥测(AI)#4129,4129,-5872,遥控(DO)#4129,2,1,遥调(AO)#4129,累计量(CI)#4129
遥信(DI)#4130,遥测(AI)#4130,4130,-5871,遥控(DO)#4130,2,1,遥调(AO)#4130,累计量(CI)#4130
遥信(DI)#4131,遥测(AI)#4131,4131,-5870,遥控(DO)#4131,2,1,遥调(AO)#4131,累计量(CI)#4131
遥信(DI)#4132,遥测(AI)#4132,4132,-5869,遥控(DO)#4132,2,1,遥调(AO)#4132,累计量(CI)#4132
遥信(DI)#4133,遥测(AI)#4133,4133,-5868,遥控(DO)#4133,2,1,遥调(AO)#4133,累计量(CI)#4133
遥信(DI)#4134,遥测(AI)#4134,4134,-5867,遥控(DO)#4134,2,1,遥调(AO)#4134,累计量(CI)#4134
遥信(DI)#4135,遥测(AI)#4135,4135,-5866,遥控(DO)#4135,2,1,遥调(AO)#4135,累计量(CI)#4135
遥信(DI)#4136,遥测(AI)#4136,4136,-5865,遥控(DO)#4136,2,1,遥调(AO)#4136,累计量(CI)#4136
遥信(DI)#4137,遥测(AI)#4137,4137,-5864,遥控(DO)#4137,2,1,遥调(AO)#4137,累计量(CI)#4137
遥信(DI)#4138,遥测(AI)#4138,4138,-5863,遥控(DO)#4138,2,1,遥调(AO)#4138,累计量(CI)#4138
遥信(DI)#4139,遥测(AI)#4139,4139,-5862,遥控(DO)#4139,2,1,遥调(AO)#4139,累计量(CI)#4139
遥信(DI)#4140,遥测(AI)#4140,4140,-5861,遥控(DO)#4140,2,1,遥调(AO)#4140,累计量(CI)#4140
遥信(DI)#4141,遥测(AI)#4141,4141,-5860,遥控(DO)#4141,2,1,遥调(AO)#4141,累计量(CI)#4141
遥信(DI)#4142,遥测(AI)#4142,4142,-5859,遥控(DO)#4142,2,1,遥调(AO)#4142,累计量(CI)#4142
遥信(DI)#4143,遥测(AI)#4143,4143,-5858,遥控(DO)#4143,2,1,遥调(AO)#4143,累计量(CI)#4143
遥信(DI)#4144,遥测(AI)#4144,4144,-5857,遥控(DO)#4144,2,1,遥调(AO)#4144,累计量(CI)#4144
遥信(DI)#4145,遥测(AI)#4145,4145,-5856,遥控(DO)#4145,2,1,遥调(AO)#4145,累计量(CI)#4145
遥信(DI)#4146,遥测(AI)#4146,4146,-5855,遥控(DO)#4146,2,1,遥调(AO)#4146,累计量(CI)#4146
遥信(DI)#4147,遥测(AI)#4147,4147,-5854,遥控(DO)#4147,2,1,遥调(AO)#4147,累计量(CI)#4147
遥信(DI)#4148,遥测(AI)#4148,4148,-5853,遥控(DO)#4148,2,1,遥调(AO)#4148,累计量(CI)#4148
遥信(DI)#4149,遥测(AI)#4149,4149,-5852,遥控(DO)#4149,2,1,遥调(AO)#4149,累计量(CI)#4149
遥信(DI)#4150,遥测(AI)#4150,4150,-5851,遥控(DO)#4150,2,1,遥调(AO)#4150,累计量(CI)#4150
遥信(DI)#4151,遥测(AI)#4151,4151,-5850,遥控(DO)#4151,2,1,遥调(AO)#4151,累计量(CI)#4151
遥信(DI)#4152,遥测(AI)#4152,4152,-5849,遥控(DO)#4152,2,1,遥调(AO)#4152,累计量(CI)#4152
遥信(DI)#4153,遥测(AI)#4153,4153,-5848,遥控(DO)#4153,2,1,遥调(AO)#4153,累计量(CI)#4153
遥信(DI)#4154,遥测(AI)#4154,4154,-5847,遥控(DO)#4154,2,1,遥调(AO)#4154,累计量(CI)#4154
遥信(DI)#4155,遥测(AI)#4155,4155,-5846,遥控(DO)#4155,2,1,遥调(AO)#4155,累计量(CI)#4155
遥信(DI)#4156,遥测(AI)#4156,4156,-5845,遥控(DO)#4156,2,1,遥调(AO)#4156,累计量(CI)#4156
遥信(DI)#4157,遥测(AI)#4157,4157,-5844,遥控(DO)#4157,2,1,遥调(AO)#4157,累计量(CI)#4157
遥信(DI)#4158,遥测(AI)#4158,4158,-5843,遥控(DO)#4158,2,1,遥调(AO)#4158,累计量(CI)#4158
遥信(DI)#4159,遥测(AI)#4159,4159,-5842,遥控(DO)#4159,2,1,遥调(AO)#4159,累计量(CI)#4159
遥信(DI)#4160,遥测(AI)#4160,4160,-5841,遥控(DO)#4160,2,1,遥调(AO)#4160,累计量(CI)#4160
遥信(DI)#4161,遥测(AI)#4161,4161,-5840,遥控(DO)#4161,2,1,遥调(AO)#4161,累计量(CI)#4161
遥信(DI)#4162,遥测(AI)#4162,4162,-5839,遥控(DO)#4162,2,1,遥调(AO)#4162,累计量(CI)#4162
遥信(DI)#4163,遥测(AI)#4163,4163,-5838,遥控(DO)#4163,2,1,遥调(AO)#4163,累计量(CI)#4163
遥信(DI)#4164,遥测(AI)#4164,4164,-5837,遥控(DO)#4164,2,1,遥调(AO)#4164,累计量(CI)#4164
遥信(DI)#4165,遥测(AI)#4165,4165,-5836,遥控(DO)#4165,2,1,遥调(AO)#4165,累计量(CI)#4165
遥信(DI)#4166,遥测(AI)#4166,4166,-5835,遥控(DO)#4166,2,1,遥调(AO)#4166,累计量(CI)#4166
遥信(DI)#4167,遥测(AI)#4167,4167,-5834,遥控(DO)#4167,2,1,遥调(AO)#4167,累计量(CI)#4167
遥信(DI)#4168,遥测(AI)#4168,4168,-5833,遥控(DO)#4168,2,1,遥调(AO)#4168,累计量(CI)#4168
